"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"24978","Yes","6 July 2016 - 10:48am EDT","13 July 2016 - 1:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-oregon-caves-national-monument-preserve","DOI/NPS, Oregon Caves National Monument & Preserve",,"No","ORCA",,,"www.nps.gov/orca",,,,"http://usfsc.grscicoll.org/cool/xyt9-mi4s","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","19000 Caves Highway",,,"Cave Junction","OR","97523","USA",,,,,,,,,,"24642",,,,,
"24979","Yes","6 July 2016 - 10:53am EDT","13 July 2016 - 1:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-point-reyes-national-seashore","DOI/NPS, Point Reyes National Seashore",,"No","PORE",,,"www.nps.gov/pore",,,,"http://usfsc.grscicoll.org/cool/qhb7-10j0","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","1 Bear Valley Road",,,"Point Reyes Station","CA","94956","USA",,,,,,,,,,"24642",,,,,
"24980","Yes","6 July 2016 - 10:55am EDT","13 July 2016 - 1:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-puukohola-heiau-national-historic-site","DOI/NPS, Pu'ukohola Heiau National Historic Site",,"No","PUHE",,,"www.nps.gov/puhe",,,,"http://usfsc.grscicoll.org/cool/pbbp-x5ps","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","62-3601 Kawaihae Road",,,"Kawaihae","HI","96743","USA",,,,,,,,,,"24642",,,,,
"24981","Yes","6 July 2016 - 10:56am EDT","13 July 2016 - 1:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-puuhonua-o-honaunau-national-historical-park","DOI/NPS, Pu'uhonua O Honaunau National Historical Park",,"No","PUHO",,,"www.nps.gov/puho",,,,"http://usfsc.grscicoll.org/cool/20k2-ssft","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","PO Box 129",,,"Honaunau","HI","96726","USA",,,,,,,,,,"24642",,,,,
"24982","Yes","6 July 2016 - 11:00am EDT","13 July 2016 - 1:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-redwood-national-and-state-parks","DOI/NPS, Redwood National and State Parks",,"No","REDW",,,"www.nps.gov/redw",,,,"http://usfsc.grscicoll.org/cool/trrn-j6nv","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","1111 Second Street",,,"Crescent City","CA","95531","USA",,,,,,,,,,"24642",,,,,
"24983","Yes","6 July 2016 - 11:02am EDT","13 July 2016 - 1:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-rosie-riveter-wwii-home-front-national-historical-park","DOI/NPS, Rosie the Riveter WWII Home Front National Historical Park",,"No","RORI",,,"www.nps.gov/rori",,,,"http://usfsc.grscicoll.org/cool/qyaw-mhz7","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","1414 Harbour Way South","SUITE 3000",,"Richmond","CA","94804","USA",,,,,,,,,,"24642",,,,,
"24984","Yes","6 July 2016 - 11:27am EDT","13 July 2016 - 1:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-san-francisco-maritime-national-historical-park","DOI/NPS, San Francisco Maritime National Historical Park",,"No","SAFR",,,"www.nps.gov/safr",,,,"http://usfsc.grscicoll.org/cool/t3a5-5sge","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","2 Marina Boulevard","Building E, 2nd Floor",,"San Francisco","CA","94123","USA",,,,,,,,,,"24642",,,,,
"24986","Yes","7 July 2016 - 1:59pm EDT","13 July 2016 - 1:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-san-juan-island-national-historical-park","DOI/NPS, San Juan Island National Historical Park",,"No","SAJH",,,"www.nps.gov/sajh",,,,"http://usfsc.grscicoll.org/cool/vgxr-6r3e","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","PO Box 429",,,"Friday Harbor","WA","98250","USA",,,,,,,,,,"24642",,,,,
"24987","Yes","7 July 2016 - 2:02pm EDT","13 July 2016 - 1:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-santa-monica-national-recreation-area","DOI/NPS, Santa Monica National Recreation Area",,"No","SAMO",,,"www.nps.gov/samo",,,,"http://usfsc.grscicoll.org/cool/8efs-726f","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","26876 Mulholland Highway",,,"Calabasas","CA","91302","USA",,,,,,,,,,"24642",,,,,
"24989","Yes","7 July 2016 - 2:11pm EDT","13 July 2016 - 1:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-tule-springs-fossil-beds-national-monument","DOI/NPS, Tule Springs Fossil Beds National Monument",,"No","TUSK",,,"www.nps.gov/tusk",,,,"http://usfsc.grscicoll.org/cool/wpd8-mvx4","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","601 Nevada Way",,,"Boulder City","NV","89005","USA",,,,,,,,,,"24642",,,,,
"24990","Yes","7 July 2016 - 2:13pm EDT","13 July 2016 - 1:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-world-war-ii-valor-pacific-national-monument","DOI/NPS, World War II Valor in the Pacific National Monument",,"No","VALR",,,"www.nps.gov/valr",,,,"http://usfsc.grscicoll.org/cool/d5dv-mhaj","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","National Park Service","WWII Valor in the Pacific National Monument","1845 Wasp Blvd.Bldg 176","Honolulu","HI","96818","USA",,,,,,,,,,"24642",,,,,
"24991","Yes","7 July 2016 - 2:17pm EDT","13 July 2016 - 1:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-war-pacific-national-historical-park","DOI/NPS, War in the Pacific National Historical Park",,"No","WAPA",,,"www.nps.gov/wapa",,,,"http://usfsc.grscicoll.org/cool/5mpw-zp07","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","135 Murray Blvd.","Suite 100",,"Hagatna","GU","96910","USA",,,,,,,,,,"24642",,,,,
"24992","Yes","7 July 2016 - 2:18pm EDT","13 July 2016 - 1:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-whiskeytown-national-recreation-area","DOI/NPS, Whiskeytown National Recreation Area",,"No","WHIS",,,"www.nps.gov/wapa",,,,"http://usfsc.grscicoll.org/cool/fhfj-tv4v","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","PO Box 188",,,"Whiskeytown","CA","96095","USA",,,,,,,,,,"24642",,,,,
"24993","Yes","7 July 2016 - 2:20pm EDT","13 July 2016 - 1:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-whitman-mission-national-historic-site","DOI/NPS, Whitman Mission National Historic Site",,"No","WHMI",,,"www.nps.gov/whmi",,,,"http://usfsc.grscicoll.org/cool/4y06-5h0j","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","328 Whitman Mission Road",,,"Walla Walla","WA","99362","USA",,,,,,,,,,"24642",,,,,
"24997","Yes","8 July 2016 - 11:17am EDT","13 July 2016 - 11:29am EDT","http://usfsc.grscicoll.org/institution/doinps-crater-lake-national-park","DOI/NPS, Crater Lake National Park",,"No","CRLA",,,"www.nps.gov/crla",,,,"http://grscicoll.org/cool/s8ev-hvc4","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)",,"PO Box 7",,"Crater Lake","Oregon","97604","USA",,,,,,,,,,"24642",,,,,
"24998","Yes","8 July 2016 - 11:22am EDT","12 July 2016 - 9:43am EDT","http://usfsc.grscicoll.org/institution/doinps-death-valley-national-park","DOI/NPS, Death Valley National Park",,"No","DEVA",,,"http://www.nps.gov/deva",,,,"http://grscicoll.org/cool/p00d-psg8","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","PO Box 579",,,"Death Valley","CA","92328","USA",,,,,,,,,,"24642",,,,,
"24999","Yes","8 July 2016 - 11:26am EDT","8 July 2016 - 11:36am EDT","http://usfsc.grscicoll.org/institution/doinps-grand-teton-national-park","DOI/NPS, Grand Teton National Park",,"No","GRTE",,,"www.nps.gov/grte",,,,"http://grscicoll.org/cool/gpk6-zehw","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Drawer 170",,,"Moose","WY","83012","USA",,,,,,,,,,"24642",,,,,
"25000","Yes","8 July 2016 - 11:31am EDT","12 July 2016 - 9:43am EDT","http://usfsc.grscicoll.org/institution/doinps-haleakala-national-park","DOI/NPS, Haleakala National Park",,"No","HALE",,,"www.nps.gov/hale",,,,"http://grscicoll.org/cool/mkqz-vcs5","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","P.O. Box 369",,,"Makawao","HI","96768","USA",,,,,,,,,,"24642",,,,,
"25001","Yes","8 July 2016 - 11:38am EDT","12 July 2016 - 9:41am EDT","http://usfsc.grscicoll.org/institution/doinps-joshua-tree-national-park","DOI/NPS, Joshua Tree National Park",,"No","JOTR",,,"www.nps.gov/jotr",,,,"http://grscicoll.org/cool/cgwn-2248","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","74485 National Park Dr.",,,"Twentynine Palms","CA","92277","USA",,,,,,,,,,"24642",,,,,
"25002","Yes","8 July 2016 - 11:42am EDT","8 July 2016 - 11:48am EDT","http://usfsc.grscicoll.org/institution/doinps-florissant-fossil-beds-national-monument","DOI/NPS, Florissant Fossil Beds National Monument",,"No","FLFO",,,"www.nps.gov/flfo",,,,"http://grscicoll.org/cool/me1k-z953","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 185",,,"Florissant","CO","80816","USA",,,,,,,,,,"24642",,,,,
"25003","Yes","8 July 2016 - 11:46am EDT","8 July 2016 - 11:50am EDT","http://usfsc.grscicoll.org/institution/doinps-grand-canyon-national-park","DOI/NPS, Grand Canyon National Park",,"No","GRCA",,,"www.nps.gov/grca",,,,"http://grscicoll.org/cool/t3jg-1d9f","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 129",,,"Grand Canyon","Arizona","86023","USA",,,,,,,,,,"24642",,,,,
"25004","Yes","8 July 2016 - 12:58pm EDT","13 July 2016 - 1:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-olympic-national-park","DOI/NPS, Olympic National Park",,"No","OLYM",,,"www.nps.gov/olym",,,,"http://grscicoll.org/cool/2dpk-wwcn","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","600 East Park Avenue",,,"Port Angeles","WA","98362","USA",,,,,,,,,,"24642",,,,,
"25005","Yes","8 July 2016 - 1:04pm EDT","13 July 2016 - 1:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-sequoia-and-kings-canyon-national-parks","DOI/NPS, Sequoia and Kings Canyon National Parks",,"No","SEKI",,,"www.nps.gov/seki",,,,"http://grscicoll.org/cool/8h8a-wkmk","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","47050 Generals Highway",,,"Three Rivers","CA","93271","USA",,,,,,,,,,"24642",,,,,
"25006","Yes","8 July 2016 - 1:46pm EDT","13 July 2016 - 1:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-yosemite-national-park","DOI/NPS, Yosemite National Park",,"No","YOSE",,,"www.nps.gov/yose",,,,"http://grscicoll.org/cool/4tn6-xaj1","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","PO Box 577",,,"Yosemite National Park","CA","95389","USA",,,,,,,,,,"24642",,,,,
"25007","Yes","8 July 2016 - 2:32pm EDT","8 July 2016 - 2:45pm EDT","http://usfsc.grscicoll.org/institution/doinps-mississippi-national-river-recreation-area","DOI/NPS, Mississippi National River & Recreation Area",,"No","MISS",,,"www.nps.gov/miss",,,,"http://usfsc.grscicoll.org/cool/cnm5-7zk6","Yes","Public, Federal: General",,"Secondary Contact:  Heather Young, Midwest Region Chief of Museum Collections &amp; Records Management  heather_young@nps.gov  402-661-1950 (phone)  402-661-1951 (fax)","111 E. Kellogg Blvd.","Suite 105",,"Saint Paul","MN","551101","USA",,,,,,,,,,"24642",,,,,
"25011","Yes","13 July 2016 - 10:12am EDT","13 July 2016 - 10:23am EDT","http://usfsc.grscicoll.org/institution/usdaars-soybean-genomics-and-improvement-laboratory","USDA/ARS, Soybean Genomics and Improvement Laboratory",,"No","SGIL",,,"http://www.ars.usda.gov/main/site_main.htm?modecode=80-42-05-70",,,,"http://usfsc.grscicoll.org/cool/d2dn-b7dt","Yes","Public, Federal: General",,"Our mission is to improve soybean, common bean, and wheat to provide sustainable solutions for consumers in America and around the world. We accomplish this by 1) developing molecular markers and genetic maps to define genes controlling seed quality, disease resistance, abiotic stress tolerance, and productivity; 2) discovering and elucidating the function of genes and molecular mechanisms governing traits such as disease resistance and seed quality; 3) maintaining the National Rhizobium Germplasm Resource Collection to support symbiotic nitrogen fixation applications and research; and 4) providing electron microscopy diagnostic and research support to collaborating scientists.","Soybean Genomics and Improvement Laboratory","10300 Baltimore Avenue","Bldg. 006, Room 118, BARC-WEST","Beltsville","Maryland","20705","USA",,,,,,,,,,"24985",,,,,
"25012","Yes","13 July 2016 - 10:44am EDT","13 July 2016 - 11:00am EDT","http://usfsc.grscicoll.org/institution/usdaars-invasive-insect-biocontrol-and-behavior-laboratory","USDA/ARS, Invasive Insect Biocontrol and Behavior Laboratory",,"No","IIBBL",,,"http://www.ars.usda.gov/main/site_main.htm?modecode=80-42-05-50",,,,"http://usfsc.grscicoll.org/cool/hxeq-hn54","Yes","Public, Federal: General",,,"Invasive Insect Biocontrol and Behavior Laboratory","10300 Baltimore Avenue","Bldg. 007, Room 301, BARC-West","Beltsville","Maryland","20705","USA",,,,,,,,,,"24994",,,,,
"25013","Yes","13 July 2016 - 10:49am EDT","13 July 2016 - 11:01am EDT","http://usfsc.grscicoll.org/institution/usdaars-nematology-laboratory","USDA/ARS, Nematology Laboratory",,"No","NL",,,"http://www.ars.usda.gov/main/site_main.htm?modecode=80-42-05-65",,,,"http://usfsc.grscicoll.org/cool/dd8n-f5vf","Yes","Public, Federal: General",,,"USDA/ARS, Nematology Laboratory","10300 Baltimore Avenue","Bldg. 010A, Room 238, BARC-West","Beltsville","Maryland","20705","USA",,,,,,,,,,"24995",,,,,
"25014","Yes","13 July 2016 - 10:59am EDT","13 July 2016 - 11:01am EDT","http://usfsc.grscicoll.org/institution/usdaars-pest-management-research-unit","USDA/ARS, Pest Management Research Unit",,"No","PMRU",,,"https://www.ars.usda.gov/main/site_main.htm?modecode=30-32-05-05",,,,"http://usfsc.grscicoll.org/cool/vjn1-d89z","Yes","Public, Federal: General",,,"USDA/ARS, Pest Management Research Unit","Northern Plains Agricultural Research Laboratory","1500 North Central Avenue","Sidney","Montana","59270","USA",,,,,,,,,,"25010",,,,,
"25032","Yes","21 July 2016 - 3:40pm EDT","21 July 2016 - 4:15pm EDT","http://usfsc.grscicoll.org/institution/usdaars-mycotoxin-prevention-and-applied-microbiology","USDA/ARS, Mycotoxin Prevention and Applied Microbiology",,"No","MPAM",,,"https://www.ars.usda.gov/main/site_main.htm?modecode=50-10-05-25",,,,"http://usfsc.grscicoll.org/cool/qimd-wcem","Yes","Public, Federal: General",,"The mission of the Mycotoxin Prevention and Applied Microbiology research unit is to enhance food safety and crop production in the U.S. and around the world. Researchers in this unit integrate information from genetics, microbiology, chemistry and plant biology to develop novel approaches to limit mycotoxin contamination, control foodborne diseases, and improve crop production.","USDA/ARS, Mycotoxin Prevention and Applied Microbiology","National Center for Agricultural Utilization Research","1815 N. University Street","Peoria","Illinois","61604","USA",,,,,,,,,,"25030",,,,,
"25033","Yes","21 July 2016 - 3:50pm EDT","21 July 2016 - 4:15pm EDT","http://usfsc.grscicoll.org/institution/usdaars-emerging-pests-and-pathogens-research-unit","USDA/ARS, Emerging Pests and Pathogens Research Unit",,"No","EPPRU",,,"https://www.ars.usda.gov/main/site_main.htm?modecode=80-62-05-20",,,,"http://usfsc.grscicoll.org/cool/b7jm-gf9z","Yes","Public, Federal: General",,"Our research unit advances comprehensive knowledge of the biological and economic impacts of invasive pest/pathogen populations and develops appropriate sustainable, economical, and environmentally friendly management strategies. Research encompasses insects, weeds, nematodes, fungi, bacteria, and viruses, and focuses on the interactions of pests and pathogens with their hosts at the molecular, cellular, organismal and ecological levels. We also curate the world&rsquo;s largest collection of fungal pathogens of insects to provide fungal germplasm for research and biopesticide development. Research is regional, national and global in scope and we strive to develop outcomes that are directly transferable to our stakeholders. Current efforts support the following key commodities; potato, tomato, citrus, coffee, greenhouse and nursery crops, as well as, diverse natural landscapes with results being applicable to many other agricultural and natural ecosystems.","USDA/ARS, Emerging Pests and Pathogens Research Unit","Robert W. Holley Center for Agriculture & Health","538 Tower Road","Ithaca","New York","14853","USA",,,,,,,,,,"25029",,,,,
"25060","Yes","27 July 2016 - 2:00pm EDT","28 July 2016 - 11:42am EDT","http://usfsc.grscicoll.org/institution/usdaars-systematic-mycology-microbiology-laboratory","USDA/ARS, Systematic Mycology & Microbiology Laboratory",,"No","SMML","Systematic Mycology and Microbiology Laboratory","Agricultural Sciences & Natural Resources: Plant Sciences, Other","https://www.ars.usda.gov/main/site_main.htm?modecode=80-42-05-75","nt.ars-grin.gov/fungaldatabases",,,"http://usfsc.grscicoll.org/cool/i6ah-3d5y","Yes","Public, Federal: General","Other institutional type","The mission of the SMML is to provide the knowledge required to identify and determine relationships about fungi of importance to agriculture and forests. Identification of plant pathogens is critical for assuring our biosecurity by preventing the entry of invasive fungi into the United States. Scientists study pathogenic fungi that can devastate agricultural crops and the environment as well as beneficial fungi that control insects and diseases thereby reducing the harmful environmental effects of chemical pesticides. The one-million reference specimens in the U.S. National Fungus Collections document the biological diversity and distribution of fungi through time and space. SMML provides on-line information including identification tools for plant-associated fungi to users through electronic databases on the Internet.","USDA/ARS, Systematic Mycology & Microbiology Laboratory","10300 Baltimore Avenue","Bldg. 010A, BARC-West","Beltsville","Maryland","20705","USA",,,,,,,,,,"18817",,,,,
"25067","Yes","28 July 2016 - 12:49pm EDT","28 July 2016 - 2:30pm EDT","http://usfsc.grscicoll.org/institution/usdaars-bacterial-epidemiology-and-antimicrobial-resistance-research-unit","USDA/ARS, Bacterial Epidemiology and Antimicrobial Resistance Research Unit",,"No","BEARU",,,"http://www.ars.usda.gov/main/site_main.htm?modecode=60-40-10-20",,,,"http://usfsc.grscicoll.org/cool/sa35-hjii","Yes","Public, Federal: General",,"The mission of the Bacterial Epidemiology and Antimicrobial Resistance Unit is to study antimicrobial resistance in zoonotic food borne pathogens and commensal bacteria. Epidemiology, microbiology, risk factor analysis, and molecular techniques are used to: 1) gain an understanding of the prevalence of resistance among food borne pathogens and factors which may affect the development and persistence of resistance in production facilities and in the environment, 2) study the molecular mechanisms that are associated with the development of resistance, and 3) define the role of commensal bacteria in the development and transfer of resistance. The veterinary arm of the National Antimicrobial Resistance Monitoring System - Enteric Bacteria (NARMS) is also located in our Unit. This program is a multi-agency endeavor involving scientists from the USDA - ARS, FDA - Center for Veterinary Medicine, USDA - FSIS, USDA - APHIS, and the CDC. The goal of the program is to track the development of antimicrobial resistance in veterinary isolates as it arises and disseminate the information to all stakeholders in an attempt to arrest the development and spread of resistance, especially among food borne pathogens. The results generated by these endeavors will enhance our knowledge of antimicrobial resistance and provide the scientific data that is critically needed to direct research among the scientific community and to develop policy in a number of agencies, including the USDA and FDA.","USDA/ARS, Bacterial Epidemiology and Antimicrobial Resistance Research Unit",,"950 College Station Rd.","Beltsville","Maryland","20705","USA",,,,,,,,,,"25066",,,,,
"25072","Yes","29 July 2016 - 2:13pm EDT","1 August 2016 - 9:09am EDT","http://usfsc.grscicoll.org/institution/usdaars-subtropical-plant-pathology-research-unit","USDA/ARS, Subtropical Plant Pathology Research Unit",,"No","SPPRU",,,,,,,"http://usfsc.grscicoll.org/cool/w8r3-v4ma","Yes","Public, Federal: General",,"The mission of the Subtropical Plant Pathology Research Unit is to advance the sustainable production for of citrus, vegetable, turf and ornamental crops by improving disease control, enhancing production efficiency, minimizing environmental impacts and ensuring food safety.","USDA/ARS, Subtropical Plant Pathology Research Unit","U.S. Horticultural Research Laboratory","2001 South Rock Road","Fort Pierce","Florida","34945","USA",,,,,,,,,,"25071",,,,,
"25079","Yes","29 July 2016 - 5:00pm EDT","2 August 2016 - 9:10am EDT","http://usfsc.grscicoll.org/institution/usdafs-willamette-national-forest","USDA/FS, Willamette National Forest",,"No","WILLA","U.S. Forest Service","Agricultural Sciences & Natural Resources: Plant Sciences, Other","http://www.fs.usda.gov/willamette/",,,,"http://usfsc.grscicoll.org/cool/gp48-6w6e","Yes","Public, Federal: General",,"The Willamette National Forest stretches for 110 miles along the western slopes of the Cascade Range in western Oregon. It extends from the Mt. Jefferson area east of Salem to the Calapooya Mountains northeast of Roseburg. The varied landscape of high mountains, narrow canyons, cascading streams, and wooded slopes offer excellent opportunities for visitors.","3106 Pierce Parkway, Suite B",,,"Springfield","Oregon","97477","USA",,,,,,,,,,"25068",,,,,
"25084","Yes","1 August 2016 - 11:58am EDT","1 August 2016 - 12:34pm EDT","http://usfsc.grscicoll.org/institution/usdaars-stored-product-insect-and-engineering-research-unit","USDA/ARS, Stored Product Insect and Engineering Research Unit",,"No","SPIERU",,,,,,,"http://usfsc.grscicoll.org/cool/yrvq-iff4","Yes",,,"The mission of the Stored Product Insect and Engineering Research Unit is to develop economical, effective, and ecologically sound methods for managing insect pests of grain and processed commodities, improve post-harvest management practices, and develop methods to rapidly evaluate grain quality. Multi-disciplinary teams conduct research on insect monitoring and management tactics; use functional genomics to understand pest insect biology and develop targeted management tools; develop technologies and tactics to improve grain quality during storage and handling; and develop sensors and techniques to rapidly evaluate grain traits. Successful completion of the mission will contribute to ensuring the availability of high-quality grain and grain-based food products for the growing global population.","USDA/ARS, Stored Product Insect and Engineering Research","Center for Grain and Animal Health Research","1515 College Avenue","Manhattan","Kansas","66502","USA",,,,,,,,,,"25083",,,,,
"25085","Yes","1 August 2016 - 12:00pm EDT","28 February 2017 - 11:28am EST","http://usfsc.grscicoll.org/institution/usdafs-mount-hood-national-forest","USDA/FS, Mount Hood National Forest",,"No","HOOD","U.S. Forest Service","Agricultural Sciences & Natural Resources: Horticultural Science","http://www.fs.usda.gov/mthood/",,,,"http://usfsc.grscicoll.org/cool/6nyj-0tq7","Yes","Public, Federal: General","Other type of research institution/biorepository","Located twenty miles east of the city of Portland, Oregon and the northern Willamette River valley, the Mt. Hood National Forest extends south from the strikingly beautiful Columbia River Gorge across more than sixty miles of forested mountains, lakes and streams to Olallie Scenic Area, a high lake basin under the slopes of Mt. Jefferson. On October 29, 1792, Lt. William Broughton, under the command of George Vancouver, identified and named the peak after Lord Samuel Hood a respected admiral of the British Royal Navy.","16400 Champion Way",,,"Sandy","Oregon","97055","USA",,,,"Sandy","Oregon","97055","USA",,,"25074",,,,,
"25089","Yes","1 August 2016 - 2:33pm EDT","2 August 2016 - 9:07am EDT","http://usfsc.grscicoll.org/institution/usdaars-imported-fire-ant-and-household-insects-research-unit","USDA/ARS, Imported Fire Ant and Household Insects Research Unit",,"No","IFAHIRU",,,,,,,"http://usfsc.grscicoll.org/cool/f517-bm7x","Yes",,,"The mission of the Imported and Fire Ant and Household Insects Research Unit develops integrated management processes for imported fire ants and other invasive pest ants. Emphasis is on the development of novel, safer methods, and better strategies for controlling these invasive pests, with less reliance on traditional pesticides. Research supports many economic sectors, including the general public, agricultural and livestock producers, the pest control industry, medical practitioners, communication and electrical industries, as well as state and federal agencies, e.g. APHIS, EPA, Department of Defense, Department of Homeland Security, and the Department of Interior. Areas of research include the development of functional genomic resources, classical biological control tools, bio-pesticides, chemical ecology, targeted baits, surveillance and monitoring tools, repellents, ecology and biodiversity, population dynamics, toxicology and molecular biology.","Medical, Agric. & Vetry Entrol",,"1600 S.W. 23rd Drive","Gainesville","Florida","32608","USA",,,,,,,,,,"25088",,,,,
"25090","Yes","1 August 2016 - 2:46pm EDT","28 February 2017 - 11:27am EST","http://usfsc.grscicoll.org/institution/usdafs-forest-product-laboratory-center-wood-anatomy-research","USDA/FS, Forest Product Laboratory, Center for Wood Anatomy Research",,"No","CWAR","U.S. Forest Service, Forest Product Laboratory","Agricultural Sciences & Natural Resources: Forest Sciences & Forestry","http://www.fpl.fs.fed.us/","http://www.fpl.fs.fed.us/research/centers/woodanatomy/madw_collection.php",,,"http://usfsc.grscicoll.org/cool/skge-ak0q","Yes","Public, Federal: General","Other type of research institution/biorepository","Research institution on wood and forest products. Xylarium","Forest Products Laboratory, Center for Wood Anatomy Research","One Gifford Pinchot Drive",,"Madison","Wisconsin","53726-2398","USA",,,,"Madison","Wisconsin","53726-2398","USA",,,"25075",,,,,
